prefix_id,supplier_id,group_line_code,group_line_name,status_id,created_on,created_by,updated_on,updated_by
8,,10156,HABANOS ,1,,,,
8,,10157,HAUTE COUTURE,1,,,,
8,,10158,HELLO KITTY,1,,,,
8,,10159,HERMES,1,,,,
8,,10160,HERVE CHAPILIER,1,,,,
8,,10161,HONDURENA DE TABACOS,1,,,,
8,,10162,HORIZON,1,,,,
8,,10163,HORSEBALL,1,,,,
8,,10164,HOUSE OF SILLAGE,1,,,,
8,,10165,HUGO BOSS,1,,,,
8,,10166,HYSON,1,,,,
8,,10167,INCOMO,1,,,,
8,,10168,INES DE LA FRESSANGE,1,,,,
8,,10169,INITIO,1,,,,
8,,10170,ISSEY MIYAKE,1,,,,
8,,10171,ITC,1,,,,
8,,10172,JACQUES FATH,1,,,,
8,,10173,JAGUAR,1,,,,
8,,10174,JEAN BROSSEAU,1,,,,
8,,10175,JEAN LOUIS SCHERRER,1,,,,
8,,10176,JEAN LUC AMSLER,1,,,,
8,,10177,JEAN PASCAL,1,,,,
8,,10178,JEAN PATOU,1,,,,
8,,10179,JEAN PAUL GAULTIER,1,,,,
8,,10180,JENNA HEARTBREAKER,1,,,,
8,,10181,JENNIFER ANISTON,1,,,,
8,,10182,JENNIFER LOPEZ,1,,,,
8,,10183,JESSICA SIMPSON,1,,,,
8,,10184,JETTE,1,,,,
8,,10185,JILL SANDER,1,,,,
8,,10186,JIMMY,1,,,,
8,,10187,JOHN MAC STEED,1,,,,
8,,10188,JOHN VARVATOS,1,,,,
8,,10189,JOHNNY BRAVO,1,,,,
8,,10190,JOOP,1,,,,
8,,10191,JUDITH LIEBER,1,,,,
8,,10192,JUICY BITES,1,,,,
8,,10193,JUICY COUTURE,1,,,,
8,,10194,JULIETTE HAS A GUN,1,,,,
8,,10195,JUNGLE MAGIC,1,,,,
8,,10196,JUST CAVALLI,1,,,,
8,,10197,JUVENTUS,1,,,,
8,,10198,KARL LAGERFELD,1,,,,
8,,10199,KENNETH COLE,1,,,,
8,,10200,KENZO,1,,,,
8,,10201,KHLOE KARDASHIAN,1,,,,
8,,10202,KIM KARDASHIAN,1,,,,
8,,10203,KINDY,1,,,,
8,,10204,KIWI,1,,,,
8,,10205,KRIZIA,1,,,,
8,,10206,KRIZIA,1,,,,
8,,10207,KUNG FU PANDA,1,,,,
8,,10208,LA BAGAGERIE,1,,,,
8,,10209,LA COLINA TOSCANA,1,,,,
8,,10210,LACOSTE,1,,,,
8,,10211,LALALOOPSY,1,,,,
8,,10212,LALIQUE,1,,,,
