mnemonic,description,status_id,created_on,created_by,updated_on,updated_by
GEN,GENERAL,1,12/19/2018,1,12/19/2018,1
MEN,MEN,1,12/19/2018,1,12/19/2018,1
WMN,WOMEN,1,12/19/2018,1,12/19/2018,1
