mnemonic,description,status_id,created_by,created_on,updated_on,updated_by
BOX,BOX,1,1,12/19/2018,12/19/2018,1
CTN,CARTON,1,1,12/19/2018,12/19/2018,1
OTR,OUTER,1,1,12/19/2018,12/19/2018,1
PAR,PAIR,1,1,12/19/2018,12/19/2018,1
PCS,PIECE,1,1,12/19/2018,12/19/2018,1
SET,SET,1,1,12/19/2018,12/19/2018,1
TIN,TIN,1,1,12/19/2018,12/19/2018,1
