mnemonic,description,status_id,created_on,created_by,updated_on,updated_by
EUR,EURO,1,,,,
SF,SWISS FRANC,1,,,,
SR,SAUDI RIYAL,1,,,,
UAD,UAE DIRHAMS,1,,,,
USD,US DOLLAR,1,,,,
QR,QATARI RIYALS,1,,,,
